STATION,STATION_NAME,DATE,PRCP,TAVG,TMAX,TMIN
GHCND:FRM00007149,ORLY FR,20160922,0.01,62,75,48
GHCND:FRM00007149,ORLY FR,20160923,0.00,64,76,-9999
GHCND:FRM00007149,ORLY FR,20160924,0.01,63,76,49
GHCND:FRM00007149,ORLY FR,20160925,0.00,60,69,-9999
GHCND:FRM00007149,ORLY FR,20160926,0.20,57,-9999,-9999
GHCND:FRM00007149,ORLY FR,20160927,0.01,62,74,49
GHCND:FRM00007149,ORLY FR,20160928,0.00,65,74,-9999
GHCND:FRM00007149,ORLY FR,20160929,0.01,62,72,55
GHCND:FRM00007149,ORLY FR,20160930,0.01,59,66,-9999
GHCND:FRM00007149,ORLY FR,20161001,0.13,57,65,52
GHCND:FRM00007149,ORLY FR,20161002,0.02,54,-9999,-9999
GHCND:FRM00007149,ORLY FR,20161003,0.00,53,-9999,40
GHCND:FRM00007149,ORLY FR,20161004,0.01,56,67,48
GHCND:FRM00007149,ORLY FR,20161005,0.00,54,64,-9999
GHCND:FRM00007149,ORLY FR,20161006,0.00,51,60,41
GHCND:FRM00007149,ORLY FR,20161007,0.00,53,58,48
GHCND:FRM00007149,ORLY FR,20161008,0.00,54,63,-9999
GHCND:FRM00007149,ORLY FR,20161009,0.00,49,61,39
GHCND:FRM00007149,ORLY FR,20161010,0.00,46,59,35
GHCND:FRM00007149,ORLY FR,20161011,0.05,47,-9999,40
GHCND:FRM00007149,ORLY FR,20161012,0.00,48,58,-9999
GHCND:FRM00007149,ORLY FR,20161013,0.00,47,-9999,41
GHCND:FRM00007149,ORLY FR,20161014,0.02,51,-9999,-9999
GHCND:FRM00007149,ORLY FR,20161015,0.33,54,64,45
GHCND:FRM00007149,ORLY FR,20161016,0.00,57,71,46
GHCND:FRM00007149,ORLY FR,20161017,0.04,56,65,-9999
GHCND:FRM00007149,ORLY FR,20161018,0.03,52,-9999,44
GHCND:FRM00007149,ORLY FR,20161019,0.02,49,-9999,44
GHCND:FRM00007149,ORLY FR,20161020,0.01,52,58,46
GHCND:FRM00007149,ORLY FR,20161021,0.02,51,56,-9999
GHCND:FRM00007149,ORLY FR,20161022,0.09,47,-9999,40
GHCND:FRM00007149,ORLY FR,20161023,0.01,47,56,39
GHCND:FRM00007149,ORLY FR,20161024,0.32,54,57,-9999
GHCND:FRM00007149,ORLY FR,20161025,0.07,54,58,-9999
GHCND:FRM00007149,ORLY FR,20161026,0.00,52,59,-9999
GHCND:FRM00007149,ORLY FR,20161027,0.00,50,60,44
GHCND:FRM00007149,ORLY FR,20161028,0.01,49,57,-9999
GHCND:FRM00007149,ORLY FR,20161029,0.00,53,-9999,-9999
GHCND:FRM00007149,ORLY FR,20161030,0.01,52,-9999,-9999
GHCND:FRM00007149,ORLY FR,20161031,0.00,53,65,-9999
GHCND:FRM00007149,ORLY FR,20161101,0.00,49,60,42
GHCND:FRM00007149,ORLY FR,20161102,0.01,49,55,-9999
GHCND:FRM00007149,ORLY FR,20161103,0.00,41,-9999,-9999
GHCND:FRM00007149,ORLY FR,20161104,0.00,42,-9999,35
GHCND:FRM00007149,ORLY FR,20161105,0.43,47,-9999,-9999
GHCND:FRM00007149,ORLY FR,20161106,0.01,41,-9999,36
